zcta,ZIPName,ZCTA_pop,afact
ZIP census tabulation area,ZIP Code name,Total population (2020 Census),zcta-to-zcta allocation factor
44135,"Cleveland, OH",26684,1
44136,"Strongsville, OH",25890,1
44137,"Maple Heights, OH",23759,1
44138,"Olmsted Falls, OH",23088,1
44139,"Solon, OH",25331,1
44140,"Bay Village, OH",16163,1
44141,"Brecksville, OH",14130,1
44142,"Brook Park, OH",18598,1
44143,"Richmond Heights, OH",25339,1
44144,"Brooklyn, OH",21361,1
44145,"Westlake, OH",34228,1
44146,"Bedford, OH",29778,1
44147,"Broadview Heights, OH",19872,1
44149,"Strongsville, OH",20678,1
44201,"Atwater, OH",6658,1
44202,"Aurora, OH",22167,1
44203,"Barberton, OH",39577,1
44212,"Brunswick, OH",45749,1
44214,"Burbank, OH",2149,1
44215,"Chippewa Lake, OH",2289,1
44216,"New Franklin, OH",9443,1
44217,"Creston, OH",4165,1
44221,"Cuyahoga Falls, OH",29601,1
44223,"Cuyahoga Falls, OH",18388,1
44224,"Stow, OH",38709,1
44230,"Doylestown, OH",8064,1
44231,"Garrettsville, OH",8398,1
44232,"Green, OH (PO Boxes)",30,1
44233,"Hinckley, OH",8025,1
44234,"Hiram, OH",3763,1
44235,"Homerville, OH",1960,1
44236,"Hudson, OH",26216,1
44240,"Kent, OH",38354,1
44241,"Streetsboro, OH",17659,1
44243,"Kent, OH",5670,1
44250,"Lakemore, OH",1469,1
44251,"Westfield Center, OH",928,1
44253,"Litchfield, OH",3438,1
44254,"Lodi, OH",4784,1
44255,"Mantua, OH",7558,1
44256,"Medina, OH",64815,1
44260,"Mogadore, OH",13152,1
44262,"Munroe Falls, OH",5020,1
44264,"Cuyahoga Falls, OH",3370,1
44266,"Ravenna, OH",32606,1
44270,"Rittman, OH",8384,1
44272,"Rootstown, OH",5356,1
44273,"Seville, OH",6900,1
44274,"Sharon Center, OH (PO Boxes)",265,1
44275,"Spencer, OH",3257,1
44276,"Sterling, OH",2023,1
44278,"Tallmadge, OH",18671,1
44280,"Valley City, OH",5343,1
44281,"Wadsworth, OH",33241,1
44285,"Wayland, OH (PO Boxes)",169,1
44286,"Richfield, OH",6258,1
44287,"West Salem, OH",7561,1
44288,"Windham, OH",3444,1
44301,"Akron, OH",14364,1
44302,"Akron, OH",4661,1
44303,"Akron, OH",7031,1
44304,"Akron, OH",4185,1
44305,"Akron, OH",21214,1
44306,"Akron, OH",21085,1
44307,"Akron, OH",6959,1
44308,"Akron, OH",1037,1
44310,"Akron, OH",24984,1
44311,"Akron, OH",6993,1
44312,"Akron, OH",30510,1
44313,"Akron, OH",25678,1
44314,"Akron, OH",17686,1
44319,"New Franklin, OH",21833,1
44320,"Akron, OH",19083,1
44321,"Akron, OH",15993,1
44325,"Univ Of Akron, Akron, OH",1259,1
44333,"Fairlawn, OH",19449,1
44401,"Berlin Center, OH",2648,1
44402,"Bristolville, OH",2951,1
44403,"Brookfield, OH",3690,1
44404,"Burghill, OH",1300,1
44405,"Campbell, OH",7837,1
44406,"Canfield, OH",22740,1
44408,"Columbiana, OH",10526,1
44410,"Cortland, OH",16824,1
44411,"Deerfield, OH",2319,1
44412,"Diamond, OH",2472,1
44413,"East Palestine, OH",7186,1
44415,"Elkton, OH (PO Boxes)",441,1
44417,"Farmdale, OH",1539,1
44418,"Fowler, OH",1224,1
44420,"Girard, OH",15033,1
44423,"Hanoverton, OH",2234,1
44424,"Hartford, OH (PO Boxes)",130,1
44425,"Hubbard, OH",14280,1
44427,"Kensington, OH",1555,1
44428,"Kinsman, OH",3115,1
44429,"Lake Milton, OH",2437,1
44430,"Leavittsburg, OH",4723,1
44431,"Leetonia, OH",4629,1
44432,"Lisbon, OH",12276,1
44436,"Lowellville, OH",3382,1
44437,"McDonald, OH",4073,1
44438,"West Hill, OH",4762,1
44439,"Mesopotamia, OH (PO Boxes)",577,1
44440,"Mineral Ridge, OH",4648,1
44441,"Negley, OH",1558,1
44442,"New Middletown, OH",4095,1
44443,"New Springfield, OH",1742,1
44444,"Newton Falls, OH",10042,1
44445,"New Waterford, OH",3160,1
44446,"Niles, OH",20173,1
44449,"North Benton, OH",1230,1
44450,"North Bloomfield, OH",1824,1
44451,"North Jackson, OH",3199,1
44452,"North Lima, OH",3114,1
44454,"Petersburg, OH",935,1
44455,"Rogers, OH",1558,1
44460,"Salem, OH",25393,1
44470,"Southington, OH",3681,1
44471,"Struthers, OH",10445,1
44473,"Vienna, OH",3719,1
44481,"Warren, OH",10258,1
44483,"Warren, OH",24840,1
44484,"Warren, OH",22290,1
44485,"Warren, OH",15172,1
44490,"Washingtonville, OH",721,1
44491,"West Farmington, OH",3950,1
44493,"Winona, OH (PO Boxes)",221,1
44502,"Youngstown, OH",9300,1
44503,"Youngstown, OH",1922,1
44504,"Youngstown, OH",4577,1
44505,"Youngstown, OH",17048,1
44506,"Youngstown, OH",2109,1
44507,"Youngstown, OH",4598,1
44509,"Youngstown, OH",10934,1
44510,"Youngstown, OH",2034,1
44511,"Youngstown, OH",18738,1
44512,"Boardman, OH",33282,1
44514,"Youngstown, OH",22599,1
44515,"Austintown, OH",27480,1
44555,"Youngstown State Univ, Youngstown, OH",215,1
44601,"Alliance, OH",33688,1
44606,"Apple Creek, OH",8218,1
44607,"Augusta, OH (PO Boxes)",67,1
44608,"Beach City, OH",2646,1
44609,"Beloit, OH",3592,1
44610,"Berlin, OH",385,1
44611,"Big Prairie, OH",2133,1
44612,"Bolivar, OH",5443,1
44613,"Brewster, OH",1998,1
44614,"Canal Fulton, OH",12922,1
44615,"Carrollton, OH",10557,1
44618,"Dalton, OH",7159,1
44619,"Damascus, OH (PO Boxes)",250,1
44620,"Dellroy, OH",1428,1
44621,"Dennison, OH",4606,1
44622,"Dover, OH",18921,1
44624,"Dundee, OH",5843,1
44625,"East Rochester, OH",1322,1
44626,"East Sparta, OH",2996,1
44627,"Fredericksburg, OH",7692,1
44628,"Glenmont, OH",1119,1
44629,"Gnadenhutten, OH",2126,1
44630,"Greentown, OH (PO Boxes)",28,1
44632,"Hartville, OH",10047,1
44633,"Holmesville, OH",2565,1
44634,"Homeworth, OH",1995,1
44637,"Killbuck, OH",2437,1
44638,"Lakeville, OH",1555,1
44639,"Leesville, OH (PO Boxes)",122,1
44640,"Limaville, OH",151,1
44641,"Louisville, OH",20399,1
44643,"Magnolia, OH",3218,1
44644,"Malvern, OH",4378,1
44645,"Marshallville, OH",2670,1
44646,"Massillon, OH",47973,1
44647,"Massillon, OH",18368,1
44651,"Mechanicstown, OH",765,1
44652,"Middlebranch, OH (PO Boxes)",542,1
44653,"Midvale, OH",632,1
44654,"Millersburg, OH",20612,1
44656,"Mineral City, OH",2618,1
44657,"Minerva, OH",9916,1
44659,"Mount Eaton, OH",160,1
44660,"Mount Hope, OH (PO Boxes)",138,1
44661,"Nashville, OH",248,1
44662,"Navarre, OH",9562,1
44663,"New Philadelphia, OH",25601,1
44665,"North Georgetown, OH (PO Boxes)",54,1
44666,"North Lawrence, OH",2935,1
44667,"Orrville, OH",13723,1
44669,"Paris, OH",1454,1
44670,"Robertsville, OH",155,1
44671,"Sandyville, OH",348,1
44672,"Sebring, OH",4589,1
44675,"Sherrodsville, OH",1890,1
44676,"Shreve, OH",4771,1
44677,"Smithville, OH",2805,1
44678,"Somerdale, OH (PO Boxes)",282,1
44680,"Strasburg, OH",4255,1
44681,"Sugarcreek, OH",8053,1
44682,"Tuscarawas, OH",1041,1
44683,"Uhrichsville, OH",8313,1
44685,"Green, OH",29008,1
44687,"Walnut Creek, OH",456,1
44688,"Waynesburg, OH",2958,1
44689,"Wilmot, OH",586,1
44690,"Winesburg, OH",153,1
44691,"Wooster, OH",44666,1
44693,"Deersville, OH",78,1
44695,"Bowerston, OH",1222,1
44697,"Zoar, OH",260,1
44699,"Tippecanoe, OH",909,1
44702,"Canton, OH",1086,1
44703,"Canton, OH",8015,1
44704,"Canton, OH",3723,1
44705,"Canton, OH",17779,1
44706,"Canton, OH",16972,1
44707,"Canton, OH",9163,1
44708,"Canton, OH",25386,1
44709,"Canton, OH",18509,1
44710,"Canton, OH",9309,1
44714,"Canton, OH",8923,1
44718,"Canton, OH",12607,1
44720,"North Canton, OH",40744,1
44721,"Canton, OH",13432,1
44730,"East Canton, OH",5925,1
44802,"Alvada, OH",948,1
44804,"Arcadia, OH",1127,1
44805,"Ashland, OH",31238,1
44807,"Attica, OH",2264,1
44809,"Bascom, OH",287,1
44811,"Bellevue, OH",12698,1
44813,"Bellville, OH",8039,1
44814,"Berlin Heights, OH",2750,1
44815,"Bettsville, OH",679,1
44817,"Bloomdale, OH",1370,1
44818,"Bloomville, OH",2399,1
44820,"Bucyrus, OH",17114,1
44822,"Butler, OH",3431,1
44824,"Castalia, OH",3882,1
44825,"Chatfield, OH",158,1
44826,"Collins, OH",1617,1
44827,"Crestline, OH",6973,1
44828,"Flat Rock, OH",186,1
44830,"Fostoria, OH",18442,1
44833,"Galion, OH",16786,1
44836,"Green Springs, OH",2538,1
44837,"Greenwich, OH",4330,1
44838,"Hayesville, OH",258,1
44839,"Huron, OH",12472,1
